,name,rating,address,delivery_provider,main_cuisine
1814,Allahar Daan Biriyani - New Circular Road,3.9,"93/A, New Circular Road (Close to Mouchak Market), Mouchak, Dhaka - 1217., 1217 Dhaka",platform_delivery,Bangladeshi
2827,Tushty Kitchen,3.9,"Flat 4D, Surma Vaban, Road No - 05, Red Crescent Multiplan City, Zoo Road, Mirpur-1, 1216 Dhaka",platform_delivery,Bangladeshi
529,Allah'r Daan Biriyani House Shonkor,3.9,"236/1A Mawla Bari Pathshala Goli,Rayer Bazar., 1209 Dhaka",platform_delivery,Bangladeshi
1710,Habibyâ€™s Mohammadpur,3.9,"House 79 Gulshan Avenue, Dhaka 1212., 1212 Dhaka",platform_delivery,Asian
2621,Abesh Hotel & Biryani House Delivery - Mirpur 2 (pandago),3.9,"House No-2, Road-2,Block- E, Section- 2, Mirpur, 1216 Dhaka",vendor_delivery,Bangladeshi
1479,Blend,3.9,"Captains Avenue 55/1 siddeshwari road,(opposite of viqarunnisa school),Dhaka-1217., 1217 Dhaka",platform_delivery,Beverage
3750,The Garden BBQ and Cafe,3.9,"1/3 block D, road 27, dhanmondi, 1209 Dhaka",dine_in,Kebab
2548,Encantos,3.9,"Shop no 111, level 03, Haji kujrot ali mollah super market, 1no harunabad, mirpur 12, Dhaka-1216., 1216 Dhaka",dine_in,Fast Food
4013,Wow Momo,3.8,"CSD, Baridhara DOHS, Road 5, 1212 Dhaka",platform_delivery,Snacks
3138,Kustary Sultan - Mohammapur,3.8,"H.I. Khan Trade Centre, House: 23, 24, Block # D, Tajmahal Road, Mohammadpur, Dhaka 1207, 1207 Dhaka",platform_delivery,Fast Food
2894,Kacha Lanka Restaurant & Biryani House - Mirpur,3.8,"Mirpur DOHS, Gate Number 1, Near by Zaman Park., 1216 Dhaka",platform_delivery,Bangladeshi
3027,The Mughal Empire - Banasree,3.8,"House-13, Block-B, Banasree Main Road, 1219 Dhaka",platform_delivery,Biryani
4081,Roaster Cafe,3.8,"Al Madina Palace, Shop No: 3-4, 31/1, Baily Road, Dhaka, 1000 Dhaka",platform_delivery,Fast Food
3784,Meaty Affair,3.8,"Y/17, Rajia Sultana Road, Mohammadpur, Dhaka, 1207 Dhaka",dine_in,Fast Food
3958,Dragon Bowl - Superkitch,3.8,"84/a, 84/b, Block-E, Dhali Food Court, Bashundhara r/a, Vatara, 1229 Dhaka",platform_delivery,Asian
202,Khandaan's Kitchen,3.8,"8/20 Salimullah Road.Mohammadpur.Dhaka-1207 1216 Dhaka, Dhaka Division, Bangladesh",platform_delivery,Chinese
2,Oh My Rolls (Picnic),3.8,"House 22, Road 13C, Block E, Banani, 1213 Dhaka",platform_delivery,Fast Food
1068,Lily's Secret Recipe,3.8,"4th Floor ,House#103 , Road-12, Block-F, Bashundhara- R/A, 1229 Dhaka",platform_delivery,Snacks
2500,Food Burger House - Shahjadpur,3.8,"Ga-31 Shahjadpur Gulshan close to Cambrian College Dhaka-1212, 1212 Dhaka",platform_delivery,Fast Food
1769,Halima's Kitchen & Catering,3.8,"178 Tetultola road, house 12, Road 1, north badda, 1212 Dhaka",platform_delivery,Bangladeshi
3611,Cowboy Pizza,3.8,"294/4 Wapda, Ulon link road, West Rampura, 1219 Dhaka",dine_in,Fast Food
3895,Cafe Chapter 14,3.8,"19 A/ B 2nd Colony, Mazar Road, Mirpur-1, 1216 Dhaka",dine_in,Fast Food
3483,Shopnil Restora - Panthapath,3.7,"20/5 West Panthapath, Cornel Rashid Square Near Square Hospital, Panthapath, 1209 Dhaka",platform_delivery,Bangladeshi
3772,Oasis - Ring Road,3.7,"Sahabuddin Plaza, Ring Road, Mohammadpur, Dhaka 1207, 1207 Dhaka",platform_delivery,Fast Food
3683,EATON,3.7,"House 01, Road 07, Block H, South Banasree Main Road, Banasree, Dhaka 1219 IN front of Holly Cresent School & College, 1219 Dhaka",dine_in,Chinese
724,Hungry Pizza Lovers,3.7,"house 22, read 13c , block E, Banani, near by Turkish bazaar restaurant and pinewood Café., 1212 Dhaka",platform_delivery,Fast Food
2276,Nurjahan's Kitchen,3.7,"H-3, R-11, mohammadi housing society, Dhaka-1207, 1207 Dhaka",platform_delivery,Bangladeshi
652,Lulu's Fryhouse,3.7,"Gulshan-2 1212 Dhaka, Dhaka Division, Bangladesh",platform_delivery,Fried Chicken
301,Crunch-  Mirpur,3.7,"Signature Food Court 3 no Sujat Nagar, Sultan Mansion (Lift 8) Mirpur 12., 1216 Dhaka",dine_in,Fast Food
