,cluster_id,Restaurant Name,main_cuisine,Negative Sentiment,Positive Sentiment,Address
281,4,Oasis - Ring Road,Fast Food,8.0,12.0,"Sahabuddin Plaza, Ring Road, Mohammadpur, Dhaka 1207, 1207 Dhaka"
282,4,Meaty Affair,Fast Food,16.0,4.0,"Y/17, Rajia Sultana Road, Mohammadpur, Dhaka, 1207 Dhaka"
283,9,Dada Khan Kacchi,Biryani,14.0,6.0,"Dhaka, Bangladesh"
284,5,Unicafe Restaurant and Fun - Panthapath,Cafe,9.0,11.0,"21/3, Near of Square hospital, Upstair of Shawapno, Panthapath, Dhaka - 1215, 1215 Dhaka"
285,5,Tiger Tiger Cafe & Restaurant,Chinese,11.0,9.0,"Dhaka, Bangladesh"
286,5,Dhaka Biryani House - Mirpur 12,Rice Dishes,6.0,14.0,"Dhaka, Bangladesh"
287,3,Kashbon Restora,Bangladeshi,10.0,10.0,"Dhaka, Bangladesh"
288,4,Burn Well - Baily Road,Fast Food,1.0,19.0,"Dhaka, Bangladesh"
289,4,Fuiyoh - Moghbazar,Fast Food,5.0,15.0,"Dhaka, Bangladesh"
290,3,Tangail Chomchom Ghor,Bangladeshi,13.0,7.0,"Dhaka, Bangladesh"
291,3,SalmaÃ¢â‚¬â„¢s Home Kitchen,Bangladeshi,,,
292,5,New Shad Biriyani House - Mohakhali,Rice Dishes,3.0,17.0,"Dhaka, Bangladesh"
293,3,Aaate Achar,Bangladeshi,19.0,1.0,"Dhaka, Bangladesh"
294,3,Bhorta Bhat kitchen,Bangladeshi,8.0,12.0,"B. Baria Bakery, Basabo Bazar Road, Basabo Madartek Road, Beside Family Cemetry, 1214 Dhaka"
295,4,Halima's Kitchen,Fast Food,13.0,7.0,"Milk Vita Sales Centre, House D-14D, Arambagh, Mirpur, 1216 Dhaka"
296,5,Meena Sweets - Khilgaon,Dessert,7.0,13.0,"Dhaka, Bangladesh"
297,5,Vintage Bake & Cafe - Bangla Motor,Cafe,18.0,2.0,"25,26,27 Kazi Nazrul Islam Avenue,Bangla Motor,Dhaka -1000, 1000 Dhaka"
298,5,Rajib Jilapi Bhandar,Dessert,11.0,9.0,"Dhaka, Bangladesh"
299,5,Mokja,Beverage,15.0,5.0,"Dhaka, Bangladesh"
300,5,Ruma Kitchen,Curry,16.0,4.0,"Dhaka, Bangladesh"
301,3,Diamond Hotel,Bangladeshi,5.0,15.0,"285 West Dhanmondi, Road 8/A, 1205 Dhaka"
302,3,Hawlader Biriyani House- 2,Bangladeshi,16.0,4.0,"Dhaka, Bangladesh"
303,4,Dhaka Food Hub,Fast Food,9.0,11.0,"Dhaka, Bangladesh"
304,4,Lubna's Kitchen,Fast Food,19.0,1.0,"Dhaka, Bangladesh"
305,3,Bangla Kitchen,Bangladeshi,5.0,15.0,"Dhaka, Bangladesh"
306,4,AG Food- Lalmatia,Fast Food,12.0,8.0,"Dhaka, Bangladesh"
307,3,S&S Cuisineurs,Bangladeshi,20.0,0.0,"Dhaka, Bangladesh"
308,5,Oriha's Home Kitchen,Snacks,11.0,9.0,"Dhaka, Bangladesh"
309,3,Haji Nanna Biryani - Mirpur 6,Bangladeshi,6.0,14.0,"Dhaka, Bangladesh"
310,3,Evergreen Ghorowa Kitchen,Bangladeshi,1.0,19.0,"Dhaka, Bangladesh"
311,4,Ar Razzak Home Made Food & Beverage,Fast Food,11.0,9.0,"Dhaka, Bangladesh"
312,5,Ritu's Kitchen,Snacks,7.0,13.0,"Dhaka, Bangladesh"
313,5,Lake View Food & Snacks,Asian,15.0,5.0,"Dhaka, Bangladesh"
314,4,Salt n Pepper - Bashundhara,Fast Food,9.0,11.0,"Plot No. 100, Road No. 2, Block A, Bashundhara, Dhaka, 1229 Dhaka"
315,5,Kettle,Cafe,12.0,8.0,"Dhaka, Bangladesh"
316,4,Shawarma Point,Fast Food,4.0,16.0,"Dhaka, Bangladesh"
317,4,Proti Bite A Mangsho,Fast Food,12.0,8.0,"Dhaka, Bangladesh"
318,4,LFC,Fast Food,8.0,12.0,"Dhaka, Bangladesh"
319,4,Cafe Chapter 14,Fast Food,19.0,1.0,"19 A/ B 2nd Colony, Mazar Road, Mirpur-1, 1216 Dhaka"
320,3,Food Palace - Mirpur -12,Bangladeshi,15.0,5.0,"Dhaka, Bangladesh"
321,3,Jolly's Kitchen,Bangladeshi,4.0,16.0,"Jatiyo Mohila Sangstha,145, New Baily Rd, Dhaka 1000, 1000 Dhaka"
322,5,Al-Amin Spicy Kebab,Kebab,14.0,6.0,"Dhaka, Bangladesh"
323,5,Delicious Pizza - Bashundhara,Italian,14.0,6.0,"Dhaka, Bangladesh"
324,3,Pagla Baburchi - Pandago,Bangladeshi,3.0,17.0,"Dhaka, Bangladesh"
325,4,Wish Food,Fast Food,14.0,6.0,"Dhaka, Bangladesh"
326,7,Shaad Fuchka,Indian,1.0,19.0,"Opposite of Car Selection, Road No: 111, Gulshan- 2, 1212 Dhaka"
327,7,SNACKS TOWN,Indian,19.0,1.0,"Shahid Abdul Aziz road, 2nd gali, ma villa, 1229 Dhaka"
328,4,Frenchie's - Gulshan,Fast Food,15.0,5.0,"Dhaka, Bangladesh"
329,4,Subah Restaurant - Days Hotel,Fast Food,8.0,12.0,"Dhaka, Bangladesh"
330,4,Rocking Chef,Fast Food,19.0,1.0,"Dhaka, Bangladesh"
331,3,Orthir Henshel,Bangladeshi,16.0,4.0,"Dhaka, Bangladesh"
332,3,Maharaja,Bangladeshi,12.0,8.0,"Dhaka, Bangladesh"
333,5,Burger Hut,Burgers,11.0,9.0,"Dhaka, Bangladesh"
334,3,Bhorta Bari,Bangladeshi,3.0,17.0,"Dhaka, Bangladesh"
335,4,Amber Cafe,Fast Food,19.0,1.0,"Dhaka, Bangladesh"
336,5,Food Fest,Snacks,4.0,16.0,"Dhaka, Bangladesh"
337,5,Burger Venue BD,Burgers,20.0,0.0,"Dhaka, Bangladesh"
338,5,Dragon Bowl - Superkitch,Asian,17.0,3.0,"84/a, 84/b, Block-E, Dhali Food Court, Bashundhara r/a, Vatara, 1229 Dhaka"
339,3,Janani Restora,Bangladeshi,1.0,19.0,"Dhaka, Bangladesh"
340,3,Chandni 's Kitchen,Bangladeshi,15.0,5.0,"Dhaka, Bangladesh"
341,3,Shoykot Hotel & Biryani House,Bangladeshi,16.0,4.0,"Dhaka, Bangladesh"
342,5,JabeenÃ¢â‚¬â„¢s Snacks n Bakes,Snacks,,,
343,2,PizzaMo,Pizza,6.0,14.0,"Dhaka, Bangladesh"
344,3,Polly's Kitchen,Bangladeshi,9.0,11.0,"Dhaka, Bangladesh"
345,3,Clock House - pandago,Bangladeshi,8.0,12.0,"Dhaka, Bangladesh"
346,9,Tehari Avenue,Biryani,3.0,17.0,"House 6, Road 23/A, Ground floor of new sub post office, Gulshan-01, Dhaka, 1212 Dhaka"
347,5,Urmi's Sweet & Spice Touch,Dessert,2.0,18.0,"Dhaka, Bangladesh"
348,3,Shah Jalal Shah Poran Restora,Bangladeshi,7.0,13.0,"Dhaka, Bangladesh"
349,5,Fuska Gang,Chotpoti & Fuchka,9.0,11.0,"road no.10,lake side,front of panshi community center,kalabagan,Dhanmondi dhaka 1205, 1209 Dhaka"
350,5,Pizza Party,Italian,4.0,16.0,"road no.10,lake side,front of panshi community center,kalabagan,Dhanmondi dhaka 1205, 1209 Dhaka"
351,4,Burger n' Broast - Khilgaon,Fast Food,2.0,18.0,"Dhaka, Bangladesh"
352,5,Meaty Meaty,Snacks,16.0,4.0,"Dhaka, Bangladesh"
353,4,Noni's Kitchen,Fast Food,10.0,10.0,"Dhaka, Bangladesh"
354,3,BFC (Best Fried Chicken) - Orchid Plaza (Engaze AI) - pandago,Bangladeshi,16.0,4.0,"Dhaka, Bangladesh"
355,4,More Than Coffee,Fast Food,16.0,4.0,"41/1, Sara Belayet Tower, Shere Bangla Road, Katashur, Mohammadpur, Dhaka - 1207, 1207 Dhaka"
356,5,Wow Momo,Snacks,2.0,18.0,"CSD, Baridhara DOHS, Road 5, 1212 Dhaka"
357,5,Ayesha's Kitchen,Snacks,18.0,2.0,"Dhaka, Bangladesh"
358,3,New Maloncho Restora - Kalabagan,Bangladeshi,15.0,5.0,"31/2 Kalabagan(1st floor) 1st lane, Kalabagan dhaka 1205, 1205 Dhaka"
359,4,Tiffin Station,Fast Food,4.0,16.0,"Dhaka, Bangladesh"
360,4,Cox's Bazar Fuchka Mela,Fast Food,6.0,14.0,"Dhaka, Bangladesh"
361,5,Burger Junction,Burgers,9.0,11.0,"Dhaka, Bangladesh"
362,5,Man Mo,Asian,2.0,18.0,"House - 6/a, Road, 113, Gulshan - 2, 1212 Dhaka"
363,3,Bhorta Ghor - Mirpur,Bangladeshi,13.0,7.0,"Block - E , line-3 , house- 63 near Zarif International school kalshi mirpur Dhaka 1216, 1216 Dhaka"
364,5,Thai Chai,Chinese,11.0,9.0,"Dhaka, Bangladesh"
365,3,Proshmoni Hotel & restaurant,Bangladeshi,4.0,16.0,"Dhaka, Bangladesh"
366,4,Food In,Fast Food,15.0,5.0,"Dhaka, Bangladesh"
367,3,The Kitchen Express,Bangladeshi,8.0,12.0,"Dhaka, Bangladesh"
368,5,Vitale Restaurant & Party Center,Asian,3.0,17.0,"Dhaka, Bangladesh"
369,5,China101,Thai,16.0,4.0,"House no-101, Road no-13/A, Block C, Banani, Dhaka, 1213 Dhaka"
370,5,Khaosan Calling,Thai,19.0,1.0,"Dhaka, Bangladesh"
371,4,Making Home Food,Fast Food,10.0,10.0,"Dhaka, Bangladesh"
372,4,Roaster Cafe,Fast Food,8.0,12.0,"Al Madina Palace, Shop No: 3-4, 31/1, Baily Road, Dhaka, 1000 Dhaka"
373,4,La Bamba Dhanmondi,Fast Food,2.0,18.0,"Jobeda Complex, House No. 99, Road No.11/A, Shatmosjid Road, Dhanmondi, Dhaka, 1205 Dhaka"
374,5,Spice Factory,Asian,18.0,2.0,"Dhaka, Bangladesh"
375,4,Fresh Pickles,Fast Food,6.0,14.0,"Dhaka, Bangladesh"
376,5,Bakery Bits,Snacks,8.0,12.0,"House : 18 , Road number:1 Chaad Uddan road, Mohammadpur, 1207 Dhaka"
377,4,O' Pizza,Fast Food,13.0,7.0,"Dhaka, Bangladesh"
378,4,Scam Chef - Bashundhara,Fast Food,15.0,5.0,"Dhaka, Bangladesh"
379,4,Food Land,Fast Food,18.0,2.0,"Dhaka, Bangladesh"
380,5,Hungry Rooster - Dhanmondi,Fried Chicken,5.0,15.0,"Dhaka, Bangladesh"
381,3,Bushra Biryani House,Bangladeshi,7.0,13.0,"House: 97, Road : 4, Block :F , journalist residential area, Mirpur 11,dhaka 1216 (near Masjidul Faruq), 1216 Dhaka"
382,3,Abid's Catering,Bangladeshi,10.0,10.0,"Dhaka, Bangladesh"
383,3,Ila's Food Launch,Bangladeshi,18.0,2.0,"Dhaka, Bangladesh"
384,5,Mayer Ranna Ghor,Snacks,12.0,8.0,"Dhaka, Bangladesh"
385,3,Poli's Kitchen,Bangladeshi,19.0,1.0,"Dhaka, Bangladesh"
386,5,Cake Ghor,Dessert,17.0,3.0,"Dhaka, Bangladesh"
387,5,Lone Star Steakhouse,Steak,11.0,9.0,"2nd Floor, House No 99, Road No 11/A, Satmasjid Road, Dhaka 1209, 1209 Dhaka"
388,3,Mayer Doya Biryani House - Boundary Road,Bangladeshi,15.0,5.0,"Dhaka, Bangladesh"
