,cluster_id,Restaurant Name,main_cuisine,Negative Sentiment,Positive Sentiment,Address
106,4,Haque Bakery & Sweets - Shahjadpur,Fast Food,19.0,1.0,"Khil Bari Tech Road,?????????, ??? ????? ???? ??? ?? ?????? ( Opposite side of confidence tower), 1212 Dhaka"
107,3,Awesome Fuchka Bazar,Bangladeshi,14.0,6.0,"Old A - Section#12 Mirpur Cantonment Pablik School and Colleges Road, Mirpur, Dhaka-1216., 1216 Dhaka"
108,3,Radhunir Ranna,Bangladeshi,6.0,14.0,"House-918 Road-14 Adabor Mohammadpur Dhaka-1207, 1207 Dhaka"
109,4,Chicken Cheese,Fast Food,15.0,5.0,"Dhaka, Bangladesh"
110,4,Mahfuza's Kitchen - Mirpur,Fast Food,12.0,8.0,"Dhaka, Bangladesh"
111,5,Cafe Ullash,Snacks,19.0,1.0,"Dhaka, Bangladesh"
112,4,Charcoal,Fast Food,7.0,13.0,"239/1 South Pirerbag, Pabna Goli, Beside Camden Town Food Club, Kamal Soroni Road, 1216 Dhaka"
113,4,Most Wanted Burger,Fast Food,4.0,16.0,"Dhaka, Bangladesh"
114,5,Friendship Chotpoti & Fuchka,Snacks,2.0,18.0,"Dhaka, Bangladesh"
115,3,Teheriwala -Banani,Bangladeshi,20.0,0.0,"29 Kemal Ataturk Avenue, Road - 17, BTA Tower, Banani, 1213 Dhaka"
116,4,Euro Food,Fast Food,20.0,0.0,"Dhaka, Bangladesh"
117,4,Cheez Berg,Fast Food,15.0,5.0,"Dhaka, Bangladesh"
118,4,Cafe Leziz,Fast Food,19.0,1.0,"Dhaka, Bangladesh"
119,3,Bismillah Bangla Ghorua  Restaurant,Bangladeshi,7.0,13.0,"Dhaka, Bangladesh"
120,4,Food Burger House- Mirpur,Fast Food,18.0,2.0,"Dhaka, Bangladesh"
121,5,Chayer Mela & Juice Bar,Juice Corner,16.0,4.0,"Dhaka, Bangladesh"
122,5,7 Star Cake House,Dessert,9.0,11.0,"377/A Chapra Mosjid ( Dondew school road ) Pirerbagh, 60 feet Dhaka, Mirpur 2, 1216 Dhaka"
123,4,Darjeeling Momo Station Bangladesh,Fast Food,11.0,9.0,"6/A, Road No- Avenue 02,Block-F, Section-02, Mirpur Dhaka (Besides Raja Mamar Cha), 1216 Dhaka"
124,5,Asian Express,Asian,13.0,7.0,"Mohakhali DOHS, 1212 Dhaka"
125,4,Friends & Fries,Fast Food,6.0,14.0,"Dhaka, Bangladesh"
126,4,Asian Kebab Chinese And Fast Food,Fast Food,6.0,14.0,"Dhaka, Bangladesh"
127,5,OMG Foods - Gulshan,Dessert,12.0,8.0,"Dhaka, Bangladesh"
128,3,Baba Hotel & Restaurant,Bangladeshi,13.0,7.0,"Dhaka, Bangladesh"
129,3,Jannat's Kitchen,Bangladeshi,9.0,11.0,"Dhaka, Bangladesh"
130,4,Chef 24,Fast Food,15.0,5.0,"Ground Floor, 396/A (Harun Mansion), Uttara Bank Goli, North Shahjahanpur,, 1217 Dhaka"
131,3,Tiffin Box ,Bangladeshi,7.0,13.0,"Banani Road – 13/A , Block – C House – 88, 1213 Dhaka"
132,4,Mafia,Fast Food,10.0,10.0,"Dhaka, Bangladesh"
133,3,Choi Jhal Dhanmondi,Bangladeshi,17.0,3.0,"House # 285 ,Diamond Hotel Building 1st floor Road 8/A, Keari plazar pasher Goli, Dhaka, 1205 Dhaka"
134,5,Classic Sweets - Gulshan,Dessert,19.0,1.0,"57-B Gulshan shopping center, Gulshan - 1. Besides Bread & Beyond.Beside of Rajuk Commercial Complex Cum Car Parking Bhaban, 1212 Dhaka"
135,4,Cheese Factory - Mohammadpur,Fast Food,5.0,15.0,"House: 29, Road: 6, Block: B, Nobodoy Housing, Main Road, Near Beribadh, Adabor, Mohammadpur 1207 Dhaka, 1207 Dhaka"
136,3,Nurjahan's Kitchen,Bangladeshi,1.0,19.0,"H-3, R-11, mohammadi housing society, Dhaka-1207, 1207 Dhaka"
137,3,Khan's Kitchen,Bangladeshi,14.0,6.0,"Dhaka, Bangladesh"
138,5,LAZIZ,Kebab,2.0,18.0,"DHALI FOOD COURT, TENEMENT ROAD, BASHUNDHARA R/A, 1229 Dhaka"
139,5,Instant Cake,Dessert,14.0,6.0,"Dhaka, Bangladesh"
140,4,Shamima Omar's Home Kitchen,Fast Food,16.0,4.0,"Dhaka, Bangladesh"
141,4,Burger Madness,Fast Food,8.0,12.0,"Dhaka, Bangladesh"
142,3,Samaira's Kitchen,Bangladeshi,5.0,15.0,"Dhaka, Bangladesh"
143,4,SS Kebab Factory,Fast Food,16.0,4.0,"Dhaka, Bangladesh"
144,4,Akbar Foods,Fast Food,1.0,19.0,"Dhaka, Bangladesh"
